time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl
2077,840,206,430080,-0.0009904511971399188,-0.7572306878864765,0.1435546875,0.2,-46.572391510009766,3356,-0.00928211584687233,0.0003,4.750348378546043e-09,0.010543759
2080,841,206,430592,3.765281871892512e-05,-0.7267541196197271,0.248046875,0.2,-74.61973571777344,3360,-0.026914115995168686,0.0003,5.9800405738386075e-09,0.010630179
2082,842,206,431104,-0.000773132749600336,-0.772477587684989,0.072265625,0.2,-116.57977294921875,3364,-0.01403053943067789,0.0003,3.871342350858509e-09,0.009877596
2085,843,206,431616,0.0001691470097284764,-0.7783942632377148,0.07470703125,0.2,-10.333274841308594,3368,-0.007800115738064051,0.0003,4.212912685375159e-09,0.005318665
2087,844,206,432128,0.0020012554014101624,-0.719210235401988,0.34814453125,0.2,-8.544257164001465,3372,0.0022908798418939114,0.0003,4.438464856065805e-09,0.0062499223
2090,845,206,432640,-0.004973590082954615,-0.6759667098522186,0.26025390625,0.2,-56.144737243652344,3376,-0.014933498576283455,0.0003,4.182233941107949e-09,0.012513742
2092,846,206,433152,-0.0001320539158768952,-0.7165472656488419,0.11279296875,0.2,-57.3188591003418,3380,-0.016524186357855797,0.0003,4.407101118070189e-09,0.0030133226
2094,847,207,433664,0.005521971790585667,-0.7239279616624117,0.09765625,0.2,-53.41065216064453,3384,-0.023708365857601166,0.0003,1.3504723027357723e-08,0.034251053
2097,848,206,434176,0.0010959837527479976,-0.7629512939602137,0.05908203125,0.2,-20.32636260986328,3388,-0.008500630967319012,0.0003,4.594803509894163e-09,0.0046542245
2099,849,207,434688,0.0036519530694931746,-0.7591411843895912,0.08544921875,0.2,-57.82976531982422,3392,-0.0045183743350207806,0.0003,3.200496302008249e-09,0.009041022
2102,850,207,435200,0.005874260910786688,-0.7008480597287416,0.16064453125,0.2,-10.720582008361816,3396,-0.023991109803318977,0.0003,2.771714843752271e-09,0.026335062
2104,851,207,435712,-0.001954048697371036,-0.6260662199929357,0.125,0.2,-49.00663757324219,3400,-0.0013266615569591522,0.0003,2.7394728568941318e-09,0.029362617
2107,852,207,436224,0.003551203612005338,-0.6125003080815077,0.0478515625,0.2,-41.67628860473633,3404,-0.010516301728785038,0.0003,1.910817089625927e-09,0.0046884054
2109,853,207,436736,0.006952118419576436,-0.5841088593006134,0.13525390625,0.2,-105.55070495605469,3408,0.0022237226366996765,0.0003,2.352233356012201e-09,0.004052869
2112,854,207,437248,0.0060751959681510925,-0.5709217917174101,0.08447265625,0.2,-45.08694839477539,3412,-0.008939056657254696,0.0003,2.1800896869011988e-09,0.008144377
2114,855,207,437760,0.004145923943724483,-0.5631933733820915,0.1591796875,0.2,-42.0404052734375,3416,-0.005452885292470455,0.0003,1.1178808028561305e-08,0.019632809
